company,email,domain,tier,segment,warmth_score,icp_fit_score,buyer_roles,opportunity_hypothesis,why_now,notes,employee_band,revenue_band,regions,regulated,parametric_maturity,innovation_partner_fit,captive_or_alt_risk,hq_city,hq_state,hq_country,ownership,linkedin_company_url,evidence_url,evidence_note,evidence_date,intro_path,hq_verified,domain_verified
Redwood Logistics,unknown@redwoodlogistics.com,redwoodlogistics.com,A,Logistics,9,9,CFO|Head of Risk|VP Supply Chain,"Redwood Logistics manages high-volume freight across weather-prone Midwest and national routes, facing recurring disruptions from storms and supply chain delays. Marketry’s parametric prediction markets enable real-time hedging of weather-driven route risks and fuel volatility, turning uncertainty into a financial lever that protects margins without static insurance contracts.","Increased frequency of extreme weather events in 2026 combined with tightening freight capacity and rising fuel costs are forcing 3PLs to move beyond reactive contracting to proactive parametric risk transfer.","Strong Chicago 3PL with recurring weather/fuel exposure; ideal for parametric layering on existing TMS","501-1000","$250M-$1B+","Midwest, US",0,none,1,0,Chicago,IL,US,private,https://www.linkedin.com/company/redwood-logistics,https://redwoodlogistics.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
MoLo Solutions,unknown@shipmolo.com,shipmolo.com,A,Logistics,9,9,CFO|Head of Risk|VP Supply Chain,"MoLo Solutions operates a digital freight brokerage with exposure to volatile truckload pricing and regional weather events impacting carrier availability. Marketry allows them to price and hedge parametric triggers for fuel spikes and storm delays in real time, unlocking faster decision-making and margin protection on thousands of daily shipments.","Tightening driver shortages and 2026 weather volatility are compressing freight margins, pushing operators to adopt financial primitives for uncertainty instead of absorbing losses in spot markets.","Digital broker with tech-forward ops; high potential for prediction-market integration with visibility tools","100-500","$50M-$250M","Midwest, US",0,none,1,0,Chicago,IL,US,private,https://www.linkedin.com/company/molo-solutions,https://shipmolo.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Grane Transportation,unknown@gograne.com,gograne.com,A,Logistics,9,9,Head of Operations|Treasurer|CFO,"Grane provides dedicated fleet and logistics services in the Chicago Midwest corridor, exposed to recurring winter weather and supply chain bottlenecks. Marketry’s markets let them hedge parametric weather and operational disruption risks directly, improving cash flow predictability and operational resilience.","Midwest winter volatility and ongoing supply chain fragility in 2026 are driving dedicated carriers to seek real-time risk pricing tools to safeguard fleet utilization and client commitments.","Dedicated carrier with strong Midwest winter risk profile","201-500","$10M-$100M","Midwest, US",0,none,0,0,Chicago,IL,US,private,https://www.linkedin.com/company/the-grane-companies,https://gograne.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Power Construction,unknown@powerconstruction.net,powerconstruction.net,A,Infrastructure/Construction,9,9,CFO|Head of Risk|Treasurer,"Power Construction delivers complex infrastructure projects in the Midwest, facing material cost volatility from energy prices and weather delays on job sites. Marketry enables parametric hedging of energy volatility and weather events, converting project risk into tradable financial instruments that protect bid margins.","Rising construction material and energy costs plus extreme weather delays in 2026 infrastructure projects are forcing contractors to integrate prediction markets for precise risk pricing and faster capital allocation.","Midwest infrastructure contractor with energy/weather bid risk","201-500","$100M-$500M","Midwest, US",0,none,1,0,Chicago,IL,US,private,https://www.linkedin.com/company/power-construction,https://powerconstruction.net,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Bulley & Andrews,unknown@bulley.com,bulley.com,A,Infrastructure/Construction,9,9,CFO|Head of Risk,"Bulley & Andrews executes high-value commercial and institutional builds in Chicago, with exposure to supply chain disruptions and weather-impacted timelines. Marketry’s real-time markets allow hedging of key parametric risks, improving project forecasting and financial outcomes.","Chicago-area construction boom meets 2026 supply chain volatility and weather risks, compelling firms to adopt advanced risk transfer beyond traditional insurance.","Chicago-centric commercial builder; high warmth via local network","201-500","$100M-$500M","Midwest, US",0,none,0,0,Chicago,IL,US,private,https://www.linkedin.com/company/bulley-and-andrews,https://bulley.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Produce Alliance,unknown@producealliance.com,producealliance.com,A,Agriculture/Food Production,9,9,Head of Risk|CFO|VP Supply Chain,"Produce Alliance coordinates fresh produce distribution for foodservice operators, vulnerable to weather-driven crop yield and transportation volatility. Marketry’s parametric markets hedge weather events and supply disruptions in real time, stabilizing procurement costs and margins.","2026 climate volatility impacting Midwest agriculture and tight fresh produce margins are pushing distributors to use prediction markets for proactive hedging instead of post-event losses.","Fresh produce distributor with direct weather/crop risk","51-200","$10M-$100M","Midwest, US",0,none,1,0,Buffalo Grove,IL,US,private,https://www.linkedin.com/company/produce-alliance-llc,https://producealliance.com,company homepage,2026-04-15,"UChicago/Chicago network",approx,verified
Midwest Foods,unknown@midwestfoods.com,midwestfoods.com,A,Agriculture/Food Production,9,9,CFO|Head of Risk|Energy Procurement Lead,"Midwest Foods sources and distributes food products with heavy exposure to energy costs for cold chain and commodity price swings. Marketry enables real-time pricing of energy volatility and weather risks, providing a new lever for margin protection.","Energy price spikes and seasonal weather risks in 2026 food supply chains are forcing processors and distributors to seek financial tools for parametric risk beyond fixed contracts.","Cold-chain food distributor with energy/commodity volatility","201-500","$10M-$100M","Midwest, US",0,none,1,0,Chicago,IL,US,private,https://www.linkedin.com/company/midwest-foods,https://midwestfoods.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
CJ Logistics America,unknown@cjlogisticsamerica.com,cjlogisticsamerica.com,A,Logistics,8,9,VP Supply Chain|Head of Risk|CFO,"CJ Logistics America handles integrated supply chain services in the Chicago hub, facing weather and geopolitical disruptions. Marketry’s markets allow parametric hedging of route and fuel risks, enhancing operational speed and financial predictability.","Geopolitical tensions and Midwest weather events in 2026 are amplifying supply chain volatility, driving 3PLs toward real-time risk markets for competitive edge.","Global 3PL with Chicago hub operations","501-2000","$250M+","Midwest/Global",0,none,1,0,Chicago,IL,US,private,https://www.linkedin.com/company/cj-logistics-america,https://cjlogisticsamerica.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Arrive Logistics,unknown@arrivelogistics.com,arrivelogistics.com,A,Logistics,9,8,CFO|Head of Risk|VP Supply Chain,"Arrive Logistics brokers high-volume freight with exposure to carrier capacity and weather volatility. Marketry provides prediction markets to hedge parametric triggers, turning risk into tradable opportunities that protect brokerage margins.","Freight market tightening and extreme weather in 2026 are compelling brokers to adopt parametric hedging for faster, data-driven decisions.","Broker with high-volume spot-market exposure","100-500","$50M-$250M","Midwest, US",0,none,1,0,Chicago,IL,US,private,https://www.linkedin.com/company/arrive-logistics,https://arrivelogistics.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
Pando,unknown@pando.com,pando.com,A,Logistics,9,8,Head of Operations|CFO,"Pando offers digital supply chain visibility, but underlying operations face recurring disruption risks. Marketry layers parametric risk markets on top, enabling clients to hedge weather and delay events directly.","2026 rise in visibility tech adoption coincides with heightened disruption volatility, creating demand for integrated prediction market hedging.","Visibility platform with embedded risk opportunity","100-500","$50M-$250M","Midwest, US",0,none,1,0,Chicago,IL,US,private,https://www.linkedin.com/company/pando,https://pando.com,company homepage,2026-04-15,"UChicago/Chicago network",yes,verified
